postcode,distance_to_leiden,statusscore14,rangorde14
1464,46.2995717252232,"1,40240787084871",407
1471,50.746949949047,"1,25969628326723",539
1472,53.324341770969,"1,4744356107679",358
1473,54.9627544381383,"1,04334974096896",774
1474,54.7690512556414,",434053799673924",1742
1475,57.633380272227,"1,23772342682113",568
1476,58.1205362959697,NA,NA
1477,52.6615693874676,NA,NA
1481,49.5705308102213,NA,NA
1482,47.0170537357148,NA,NA
1483,49.7159256087936,"1,05007725669052",766
1484,48.8199042138662,",100529026808188",2280
1485,50.0020193630529,NA,NA
1486,47.1066392779098,"1,18805805565557",609
1487,46.8451784228334,NA,NA
1488,46.837549055294,NA,NA
1489,45.8708227204079,NA,NA
1500,37.1307423915425,NA,NA
1501,37.1307423915425,"-,197034951363888",2633
1502,37.2820255683498,"-,60232447509591",2947
1503,38.3042639546971,"-1,76548332177125",3361
1504,37.8180585073202,"-1,98219258523791",3401
1505,37.4529427854086,"-,795104163367423",3059
1506,36.9402366704261,",629608971247061",1377
1507,36.385833772323,"1,22088040283326",579
1508,39.1698123822304,"-,256261031333254",2693
1509,39.0328024368621,",456854216023341",1694
1510,39.6433897933955,NA,NA
1511,39.6433897933955,"1,08256370995514",728
1520,40.8051443467007,NA,NA
1521,40.8051443467007,"-,283351942599585",2716
1525,43.0897219002291,",67242850941636",1313
1530,41.5370932617472,NA,NA
1531,41.5370932617472,",335214560252381",1919
1534,43.3924492447601,"1,04160298864702",777
1536,43.6931469703331,"2,15346129489962",80
1540,38.086865848204,NA,NA
1541,38.086865848204,",385864787303472",1835
1544,39.5995028048974,"-,154176645338497",2595
1546,44.0851595200823,"1,4770835673542",357
1550,37.4961574693611,NA,NA
1551,37.4961574693611,",529155921198107",1560
1560,40.4795718810745,NA,NA
1561,40.4795718810745,"-,33814057132002",2759
1562,41.3247600282823,",630491994524763",1376
1566,33.5673066648354,"1,02875466379361",798
1567,39.3489720501453,"1,75692785694598",197
1600,78.7192217789727,NA,NA
1601,78.7192217789727,",328107497582049",1928
1602,78.6436315795441,"-,346404005114142",2770
1606,74.2510743303224,"-,154276024565129",2596
1607,71.0847890336259,",495746115498223",1618
1608,68.3832635920157,",840797964125445",1061
1609,69.2102633712014,NA,NA
1610,75.7654271511427,NA,NA
1611,75.7654271511427,",0777069355832172",2312
1613,75.0096562668505,"-,185878813866166",2624
1614,74.9732169447138,",175898860631419",2168
1616,71.9898396512664,",408599136063592",1791
1617,70.5320930632509,"1,18019777914321",620
1619,80.4397243294075,",290751771569027",1991
1620,63.3643939840907,NA,NA
1621,63.3643939840907,",804867223109764",1118
1622,63.6986609468608,"-1,02968318656697",3169
1623,64.5500388436066,"-,635899580781827",2966
1624,64.2458054069141,"-,448673318512592",2857
1625,64.7869769230139,"-,719960510213742",3022
1627,65.2387472037521,NA,NA
1628,65.8685058955725,"-,333807579631294",2754
1631,57.1543827150557,"1,75807198552051",195
1633,58.6028594417292,",410002291163904",1788
1634,60.7795385740552,",287711569161461",1996
1636,54.4341179473598,",76349954444467",1178
1641,60.6641714788812,"-,614868657520447",2956
1642,60.9451805701082,NA,NA
1643,60.9839791533408,",775519597613828",1163
1645,57.7943631191405,",516932790030465",1585
1646,56.1483641328856,NA,NA
1647,62.9617702565223,",551745942842726",1525
1648,59.1041476280224,",39419238164694",1815
1652,63.1079569149489,"1,27764131455875",513
